"","beta[2]","beta[4]","beta[15]","beta[26]","beta[29]","beta[41]","beta[52]","beta[64]","beta[81]","beta[86]","beta[87]","beta[105]","beta[133]","beta[148]","beta[158]","beta[162]","beta[165]","beta[209]","beta[228]","beta[241]"
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.08881,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.16348,0
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.62414,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.25463,0
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.31048,0
"62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.29342,0
"63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.63657,0
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.75897,0
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.05318,0
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.01745,0
"67",0,0,0,0,0,0,0,0,0,-0.639163,0,0,0,0,0,0,0,0,-5.89206,0
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.10081,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.60971,0
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.03586,0
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.8711,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.95834,0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.56146,0
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.26923,0
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.38439,0
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.98106,0
"77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.37279,0
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.27153,0
"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.08078,0
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.9383,0
"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.98314,0
"82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.779211,0,0,0,-5.91362,0
