"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",13.8265979749368,13.0096,13.6042,14.2311,13.60578982875,0.301246524436427,NA,0.0021545072124565,0.7,19550,0.039651454485905,1.00001147052335,13.5658194639715
"beta[2]",0,0,0,0,-0.0003377660978,0.0151860546290088,NA,5.49554883607623e-05,0.4,76360,-0.000532558328557533,1.01132806619994,0
"beta[3]",0,0,0,0,6.094413e-05,0.00703949547971113,NA,2.42978877725666e-05,0.3,83936,-0.000106445510785329,1.05423080295879,0
"beta[4]",0,0,0,0,-7.86760887500001e-06,0.0103368173069855,NA,3.3934289995008e-05,0.3,92789,-2.24914949490481e-05,1.01403133283136,0
"beta[5]",0,0,0,0,-0.000158050367875,0.00880635238426453,NA,3.03161629215957e-05,0.3,84381,-0.000297952421654974,1.00647821702062,0
"beta[6]",0,0,0,0,-0.000131908254375,0.00931353792239637,NA,3.56008293815046e-05,0.4,68440,-0.000225302630227624,1.04156159059769,0
"beta[7]",0,0,0,0,0.000587840857375,0.0178563343535307,NA,6.55612920238975e-05,0.4,74180,0.00369225848107026,1.0037720064726,0
"beta[8]",0,0,0,0,-0.000162634797375,0.00937058920035338,NA,3.35685635458449e-05,0.4,77923,-0.000285028671527669,1.00740856379096,0
"beta[9]",0,0,0,0,0.00024579245825,0.0101476860555355,NA,3.70471846477193e-05,0.4,75028,-0.00065243034783979,1.00909306552882,0
"beta[10]",0,0,0,0,-4.260823e-05,0.00590815637190082,NA,2.08884871744032e-05,0.4,80000,-4.08286949359144e-05,1.01839202215966,0
"beta[11]",0,0,0,0,0.0010513547655,0.0275019167278717,NA,0.000103200099800478,0.4,71018,9.91482118850361e-05,1.00203370051024,0
"beta[12]",0,0,0,0,-0.00052837493625,0.0183060860692449,NA,7.61093364946906e-05,0.4,57852,-0.00084864809181297,1.04957020092115,0
"beta[13]",0,0,0,0,-0.000114887403625,0.00969783584529812,NA,3.52163601404332e-05,0.4,75833,-0.000143791733622158,1.01851318420339,0
"beta[14]",0,0,0,0,-1.2696651875e-05,0.00658911395061781,NA,2.29070548625459e-05,0.3,82740,-2.24595833532608e-05,1.01001963726361,0
"beta[15]",0,0,0,0,8.068846e-06,0.0052108784232742,NA,1.88862199746876e-05,0.4,76126,-2.67178427198176e-05,1.00789620109849,0
"beta[16]",0,0,0,0,0.0049460134235,0.0554886310775851,NA,0.000299864538128646,0.5,34242,0.00633990358897304,1.00141068775504,0
"beta[17]",0,0,0,0,-0.002065972755,0.037698147184327,NA,0.000149294579259261,0.4,63761,0.00405653658722371,1.00081334146132,0
"beta[18]",0,0,0,0,0.000251483727125,0.0108589454042465,NA,3.95248892057004e-05,0.4,75480,-0.000533951535741641,1.00101667438025,0
"beta[19]",0,0,0,0,-1.759846025e-05,0.00445874021492963,NA,1.36394222676889e-05,0.3,106864,-3.9728479330957e-05,1.03726758715268,0
"beta[20]",0,0,0,0,-2.992800125e-05,0.00533075052942326,NA,1.93459319061007e-05,0.4,75927,-2.94212568777712e-05,1.03329620333814,0
"beta[21]",0,0,0,0,0.0001814435556875,0.00954785404371176,NA,3.37567617004371e-05,0.4,80000,-0.000413253889972173,1.00087428277331,0
"beta[22]",0,0,0,0,0.0001199329174,0.00629796099287756,NA,2.28298603022624e-05,0.4,76102,-0.000289633849916755,1.03471511052612,0
"beta[23]",0,0,0,0,-0.00078064558095,0.0197939813437371,NA,7.282798132507e-05,0.4,73870,0.00156716868021021,1.00307407156285,0
"beta[24]",0,0,0,0,0.000117455127875,0.00775420832661313,NA,2.66820799608619e-05,0.3,84457,-0.000305944180945944,1.02115261231131,0
"beta[25]",0,0,0,0,-5.4700967e-05,0.00656607690819151,NA,2.32145875378716e-05,0.4,80000,-0.000149358321087463,1.00980983148351,0
"beta[26]",0,0,0,0,-0.000235116684375,0.0138789832999846,NA,5.02958101737842e-05,0.4,76147,-0.000309167387098085,1.01360370521545,0
"beta[27]",0,-0.0176699,0,0.0122205,-0.03260873822,0.149207390273474,NA,0.00180280461339047,1.2,6850,0.163345478658563,1.00072334915739,0
"beta[28]",0,0,0,0,6.77014262499999e-06,0.00664176651888154,NA,2.38497321937454e-05,0.4,77553,-3.86546447293835e-05,1.00335384928728,0
"beta[29]",0,0,0,0,0.00041316371551,0.0157596555197984,NA,5.55718156148777e-05,0.4,80424,-0.000664403147906577,1.01280399966172,0
"beta[30]",0,0,0,0,-0.0005068893,0.0147178564712476,NA,5.51983129703959e-05,0.4,71095,-0.00117202920192802,1.00124767653284,0
"beta[31]",0,0,0,0,-0.00025314117625,0.0097323360209979,NA,3.54468233307294e-05,0.4,75384,-0.000701045198598363,1.01061716623766,0
"beta[32]",0,0,0,0,-0.000428378069625,0.0141363857801325,NA,5.32207011500558e-05,0.4,70553,-0.000894191289000679,1.00345598565522,0
"beta[33]",0,0,0,0,-0.00059445279125,0.0161779178833572,NA,5.90513548319175e-05,0.4,75056,-0.00126813015085511,1.00988747595242,0
