"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",-7.60526219340873,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[2]",4.68283205737776,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[3]",5.33602125456041,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[4]",-8.90123445262638,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[5]",-5.15853710511046,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[6]",-0.086488290868557,0,0,0.423204,0.081592452475,0.1492013858072,NA,0.118906298717495,79.7,2,NA,4.81137360099523,0
"beta[7]",-2.70392448408529,-0.409534,0,0,-0.0924678489875,0.161296708303702,NA,0.121782625880278,75.5,2,NA,13.2969374219146,0
"beta[8]",-3.04453223245218,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[9]",-0.939377892425213,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[10]",1.29103085421439,-0.112224,0,0.0558549,-0.0134928648818125,0.0433823550801468,NA,0.0292132409892588,67.3,2,NA,1.59908060618664,0
"beta[11]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[12]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[13]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[14]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[15]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[16]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[17]",0,-0.0225478,0,0,-0.0048703654875,0.00857003602828895,NA,0.00736013027650431,85.9,1,NA,8.90129282264523,0
"beta[18]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[19]",0,-0.0399274,0,0,-0.00808372397875,0.0147510783541223,NA,0.00951580879027211,64.5,2,NA,4.90651619917996,0
"beta[20]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[21]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[22]",0,0,0,0,0.00131964631143,0.00951144883200079,NA,0.0035568212826811,37.4,7,NA,1.33901400389966,0
"beta[23]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[24]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[25]",0,-0.0307975,0,0,-0.0069071362225,0.0120261147522064,NA,0.0136654770966681,113.6,1,NA,15.4867578430474,0
"beta[26]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[27]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[28]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[29]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[30]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[31]",0,0,0,0.19333,0.0446713758625,0.0777433790290924,NA,0.0622835510570942,80.1,2,NA,16.1930385244248,0
"beta[32]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[33]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[34]",0,0,0,0.0441232,0.0044810740888515,0.0144343503648121,NA,0.0120317542210245,83.4,1,NA,1.59755709704857,0
"beta[35]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[36]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[37]",0,-0.371423,0,0,-0.0824209551875,0.144570984373182,NA,0.104477556626053,72.3,2,NA,9.95634904716911,0
"beta[38]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[39]",0,-1.04809,0,0,-0.24619863595,0.427603591113918,NA,0.343083576016778,80.2,2,NA,21.3384839598967,0
"beta[40]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[41]",0,-2.9963,0,0,-0.657164914875,1.1513826298294,NA,0.956161617907751,83,1,NA,10.441905486462,0
"beta[42]",0,-0.875723,0,0,-0.19570192915,0.341655143650563,NA,0.310574461933737,90.9,1,NA,12.5838855145637,0
"beta[43]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[44]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[45]",0,-1.01471,0,0,-0.2527209454375,0.437739195400225,NA,0.294694604485866,67.3,2,NA,223.615524906602,0
"beta[46]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[47]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[48]",0,0,0,0.0458846,0.00762502998875,0.0151957305644741,NA,0.0113395256101843,74.6,2,NA,3.01518003083603,0
"beta[49]",0,-0.218236,0,0,-0.0320560716511512,0.0693048212014121,NA,0.0569328089753134,82.1,1,NA,2.42584496061686,0
"beta[50]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[51]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[52]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[53]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[54]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[55]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[56]",0,-0.115735,0,0,-0.027746580875,0.0481164651138771,NA,0.0276972106497103,57.6,3,NA,32.2829299809211,0
"beta[57]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[58]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[59]",0,-1.45435,-0.4924355,0,-0.623212319925,0.63062477747669,NA,0.268491559123347,42.6,6,NA,22.9174124021943,-1.12857284379965
"beta[60]",0,-0.162037,0,0,-0.03848745475,0.0667784494900611,NA,0.0418031210980568,62.6,3,NA,26.8366364495616,0
"beta[61]",0,0,1.41366,7.33495,2.5447577825,2.94179360292632,NA,1.72584033211215,58.7,3,NA,36.1701371711092,2.93714380771644
"beta[62]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[63]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[64]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[65]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[66]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[67]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[68]",0,-1.18444e-05,0,0.562955,0.120887149125998,0.209638592310209,NA,0.130297787752207,62.2,3,NA,7.61896331890855,0
"beta[69]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[70]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[71]",0,0,0,0.0873872,0.01884654356625,0.0335269273292756,NA,0.0351052438555653,104.7,1,NA,6.84739383560175,0
"beta[72]",0,0,0,0.275735,0.0662484724125,0.114862063441143,NA,0.0955237809237179,83.2,1,NA,35.2294772530271,0
"beta[73]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[74]",0,0,0,0.163758,0.0231762730297256,0.0518691095038287,NA,0.0490341194727928,94.5,1,NA,2.26985342914414,0
"beta[75]",0,0,0,2.49358,0.596452385875,1.03453032779682,NA,0.91727953314136,88.7,1,NA,29.9775069397828,0
"beta[76]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[77]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[78]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[79]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[80]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[81]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[82]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[83]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[84]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[85]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[86]",0,-0.0352087,0,0,-0.00715883336229912,0.0132069955129648,NA,0.00828854484379151,62.8,3,NA,4.46411708094294,0
"beta[87]",0,-0.238064,0,0,-0.056640747525,0.098278599609403,NA,0.0783696752470813,79.7,2,NA,26.610913855024,0
"beta[88]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[89]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[90]",0,0,0,0.236722,0.0576302705625,0.0999368856923613,NA,0.0481231678355022,48.2,4,NA,32.5682463703067,0
"beta[91]",0,-1.04782,0,0,-0.1793751168625,0.346879217217318,NA,0.296844054832626,85.6,1,NA,3.39101651054624,0
"beta[92]",0,0,0,0,4.935625e-12,1.16842631571668e-08,NA,1.0965141264108e-11,0.1,1135466,NA,1.29096259579172,0
"beta[93]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[94]",0,-0.126555,0,0,-0.0308953337625,0.053535668540395,NA,0.0336512689276815,62.9,3,NA,53.8794542529386,0
"beta[95]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[96]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[97]",0,0,0,3.76296,0.892160374473792,1.52804188130683,NA,0.85908518310117,56.2,3,NA,21.429920169339,0
"beta[98]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
