"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",-20.9700220473242,-21.4663,-21.099,-20.7634,-21.10991221,0.179531591691605,NA,0.00200228989565997,1.1,8039,0.138498268914041,1.00091181569714,-21.0730344661019
"beta[2]",6.14213796311474,5.39729,5.906725,6.41377,5.90927211375,0.258887522807122,NA,0.00138082551301847,0.5,35152,0.0212316620266337,1.00022246706145,5.91360736562347
"beta[3]",1.32608052808791,1.09736,1.683105,2.28144,1.683384334975,0.309469100684195,NA,0.00211894953018637,0.7,21330,0.0614292516876717,1.00115504257138,1.69019134937226
"beta[4]",3.97549231747913,3.5795,4.02191,4.46863,4.020467964875,0.225163176513074,NA,0.00127870331752077,0.6,31007,0.0264707378321731,1.00042050891185,4.03321224524195
"beta[5]",8.71423043268633,8.4134,8.79006,9.21023,8.798603421125,0.202810719298248,NA,0.00134763155787423,0.7,22649,0.0495918560193403,1.00035276314277,8.78970294592967
"beta[6]",7.23536294311046,6.8038,7.245635,7.69467,7.2452301165,0.224829565268698,NA,0.00173105107781058,0.8,16869,0.058470474113671,1.00049732412869,7.25515476196708
"beta[7]",0.965324414428324,0.430889,0.8803095,1.29661,0.8488286022375,0.238019475894247,NA,0.00437051965748037,1.8,2966,0.418557652462655,1.00843870192027,0.886091077434566
"beta[8]",-5.2237789610163,-5.57882,-5.22262,-4.88193,-5.2245670595,0.17753688335213,NA,0.000964790142161649,0.5,33862,0.0112754021892976,1.00013412952952,-5.2264089702882
"beta[9]",-3.17112918477505,-3.56971,-3.214445,-2.87382,-3.215467091125,0.177523367103216,NA,0.000996060901586022,0.6,31764,0.0179961709650015,1.00026479873866,-3.21636748319115
"beta[10]",-2.85719647537917,-3.32883,-2.900755,-2.45992,-2.89075389125,0.219597807360611,NA,0.00238906892218921,1.1,8449,0.149427349359235,1.00239462631501,-2.90714797575703
"beta[11]",0,0,0,0,0.000153302247,0.00833702178352609,NA,2.98300613465976e-05,0.4,78111,-0.000265176118872664,1.04020466886101,0
"beta[12]",0,0,0,0,-3.744482875e-05,0.00431608237890161,NA,1.45757221591324e-05,0.3,87684,-7.27681007324891e-05,1.0056208001413,0
"beta[13]",0,0,0,0,5.419376875e-05,0.00434449070325144,NA,1.59791757545223e-05,0.4,73921,-0.000166442912812715,1.06210829656001,0
"beta[14]",0,0,0,0,-1.850605125e-05,0.00384943945734216,NA,1.36098237202693e-05,0.4,80000,-9.09435495150487e-05,1.06440376674795,0
"beta[15]",0,0,0,0,9.703793875e-05,0.00729093814498737,NA,2.62507904216853e-05,0.4,77140,-0.000190653265803567,1.00367089651298,0
"beta[16]",0,0,0,0,0.00021960049875,0.0102552432468455,NA,3.77756538014252e-05,0.4,73700,-0.000402188827291307,1.02498821217463,0
"beta[17]",0,0,0,0,2.42005850000001e-06,0.00456744009545087,NA,1.50207671438774e-05,0.3,92462,-3.07982237259948e-05,1.0850795283354,0
"beta[18]",0,0,0,0,3.1486773e-05,0.00439362270715351,NA,1.55338020510172e-05,0.4,80000,-0.000101617633657349,1.1140822226181,0
"beta[19]",0,0,0,0,-4.1990705875e-05,0.00571886719386773,NA,2.07646675874336e-05,0.4,75853,-7.10889832276964e-05,1.06787283159011,0
"beta[20]",0,0,0,0,0.00017467227,0.00891723674607514,NA,3.29406253645833e-05,0.4,73282,-0.000409560799543853,1.02700144470065,0
"beta[21]",0,0,0,0,-3.283069875e-05,0.00413133918654114,NA,1.46064897709244e-05,0.4,80000,-7.33821903914391e-05,1.10054305065458,0
"beta[22]",0,0,0,0,1.0203678375e-05,0.0033821350192885,NA,1.17308759569536e-05,0.3,83123,-3.93200869459522e-05,1.05689979117786,0
"beta[23]",0,0,0,0,-1.97330885e-05,0.00406491676183912,NA,1.43716510362777e-05,0.4,80000,-0.000136140606060051,1.021513822652,0
"beta[24]",0,0,0,0,-1.7674334e-05,0.00325530658745874,NA,1.15092468141667e-05,0.4,80000,-3.49975859681198e-05,1.05251769813518,0
"beta[25]",0,0,0,0,-6.39115125e-06,0.00323605320337039,NA,1.14411758219163e-05,0.4,80000,-1.41947289985714e-05,1.09401463825613,0
"beta[26]",0,0,0,0,-0.0001264868670625,0.0077002928776073,NA,3.12830707703351e-05,0.4,60589,-0.000296578785978442,1.00129784605298,0
"beta[27]",0,0,0,0,0.00011802404675,0.0068322690022534,NA,2.41557187119188e-05,0.4,80000,-0.000316165646914367,1.00425118115128,0
"beta[28]",0,0,0,0,-1.54232625000001e-06,0.00290974727586645,NA,1.02875101515217e-05,0.4,80000,-6.8779805690724e-05,1.0601782386872,0
"beta[29]",0,0,0,0,1.555821625e-06,0.00460258282310491,NA,1.6272587625952e-05,0.4,80000,-2.10063024632972e-05,1.08147752114257,0
"beta[30]",0,0,0,0,-2.115421365875e-05,0.00436038713235414,NA,1.5416296549432e-05,0.4,80000,-4.09688153899223e-05,1.07262273849722,0
"beta[31]",0,0,0,0,-1.6412547875e-05,0.00395481334944545,NA,7.50473534376472e-06,0.2,277703,-5.48478136220178e-05,1.02130301392916,0
"beta[32]",0,0,0,0,0.000563082824375,0.0179464708388994,NA,8.37458357190816e-05,0.5,45923,-0.00102388622968006,1.01148995189946,0
"beta[33]",0,0,0,0,1.96984125e-06,0.00247259951012594,NA,8.74195940384243e-06,0.4,80000,-6.69374673289073e-05,1.02459236934384,0
"beta[34]",0,0,0,0,6.096260075e-05,0.00481697009122143,NA,1.72500462642506e-05,0.4,77977,-0.000134382200151645,1.00653901349733,0
"beta[35]",0,0,0,0,-2.04080975e-05,0.0043017682615303,NA,1.53562724664242e-05,0.4,78473,-4.839230940168e-05,1.05857364089277,0
"beta[36]",0,0,0,0,2.461668925e-05,0.00321779288301294,NA,1.12832469121938e-05,0.4,81329,-8.81150131974383e-05,1.08403704952791,0
"beta[37]",0,0,0,0,-0.00014494952125,0.00823501313259796,NA,3.51410436931095e-05,0.4,54916,-0.000260231928900377,1.03158082414445,0
"beta[38]",0,0,0,0,4.59226e-06,0.00377460503118755,NA,1.34786604646231e-05,0.4,78424,-2.06991445636343e-05,1.06404520166469,0
"beta[39]",0,0,0,0,4.02190825e-05,0.00481764722987996,NA,1.74943249301771e-05,0.4,75836,-7.06556003636136e-05,1.02929149997906,0
"beta[40]",0,0,0,0,-1.41778385e-05,0.00261749811897462,NA,9.25425334835194e-06,0.4,80000,-4.61575365413082e-05,1.03231113375401,0
"beta[41]",0,0,0,0,1.988767125e-05,0.00334729165742648,NA,1.24825983991425e-05,0.4,71908,-4.78911728073992e-05,1.08196404681438,0
"beta[42]",0,0,0,0,0.00025388152475,0.0123484807095949,NA,4.84848558057213e-05,0.4,64866,-0.000406375934640871,1.14853544367346,0
"beta[43]",0,0,0,0,2.061662625e-05,0.00331735562205452,NA,1.17286232798098e-05,0.4,80000,-3.93537198280069e-05,1.12904437222886,0
"beta[44]",0,0,0,0,-1.36375624999999e-06,0.00402916722069203,NA,1.42452573214301e-05,0.4,80000,-2.0523991760555e-05,1.04491430404013,0
"beta[45]",0,0,0,0,-0.00104292239875,0.0239271705513924,NA,0.000109452134189436,0.5,47790,0.00357687325517367,1.00680482251942,0
"beta[46]",0,0,0,0,6.516703625e-06,0.00409382925276616,NA,1.44738721282535e-05,0.4,80000,-1.19277050863012e-05,1.01784528136403,0
"beta[47]",0,0,0,0,1.23654775e-05,0.00327027799481688,NA,1.19281530733442e-05,0.4,75166,0.034716097416435,1.06365816303783,0
"beta[48]",0,0,0,0,9.48737965e-05,0.0059239430693704,NA,2.22692062274175e-05,0.4,70764,-0.000265048625651921,1.02479339778441,0
"beta[49]",0,0,0,0,-6.161932225e-05,0.0051872862703207,NA,1.83398264884972e-05,0.4,80000,-0.000159909723762548,1.01358930944349,0
"beta[50]",0,0,0,0,-4.7297269e-05,0.00477990078270512,NA,1.68995012842503e-05,0.4,80000,-7.32176543485621e-05,1.07000564789484,0
"beta[51]",0,0,0,0,-3.59854525e-05,0.00385611349480078,NA,1.44445236909157e-05,0.4,71268,-7.59062337500126e-05,1.07891128761228,0
"beta[52]",0,0,0,0,-2.0339637625e-05,0.00650897184001775,NA,2.54195450078137e-05,0.4,65568,-0.000128119740960131,1.13853596466368,0
"beta[53]",0,0,0,0,-6.6109233125e-05,0.00400149109259393,NA,1.41474074321553e-05,0.4,80000,-0.00033217409054036,1.03959126166717,0
"beta[54]",0,0,0,0,-0.000231305026875,0.00942129684752224,NA,3.49523168185733e-05,0.4,72656,-0.000579650381373651,1.02124814320512,0
"beta[55]",0,0,0,0,-7.14964349375e-05,0.00480365497700722,NA,1.75851541054381e-05,0.4,74619,-0.000243643429641406,1.00279820332692,0
"beta[56]",0,0,0,0,-1.749749375e-05,0.00467093390846636,NA,1.65142452057558e-05,0.4,80000,-7.24728580665148e-05,1.06606850386357,0
"beta[57]",0,0,0,0,1.779413e-05,0.00286936805917275,NA,1.0144748061806e-05,0.4,80000,-2.3482129859917e-05,1.07670170673299,0
"beta[58]",0,0,0,0,-5.18260874999999e-06,0.00282805509929447,NA,9.99868469140034e-06,0.4,80000,-4.8605261829057e-05,1.05442137403044,0
"beta[59]",0,0,0,0,1.509322875e-05,0.00303555023873073,NA,1.07322907921944e-05,0.4,80000,-2.09886019257717e-05,1.01250845433063,0
"beta[60]",0,0,0,0,0.0002587404265,0.01158623137024,NA,4.25402005791494e-05,0.4,74180,-0.000506040590998009,1.01643241047953,0
"beta[61]",0,0,0,0,-0.0003026012875,0.0114348456259138,NA,4.80901170537726e-05,0.4,56539,-0.000718667633304836,1.02421273231873,0
"beta[62]",0,0,0,0,-3.5237847875e-05,0.00530234439012129,NA,1.85876592295961e-05,0.4,81374,-8.25137699551204e-05,1.05243763558097,0
"beta[63]",0,0,0,0,-1.5026504375e-05,0.00302110486072454,NA,1.06812186684716e-05,0.4,80000,-3.35283177677028e-05,1.05952525327704,0
"beta[64]",0,0,0,0,5.514834625e-06,0.00416652859831932,NA,1.47309031293957e-05,0.4,80000,-4.10478974244152e-05,1.16404605824012,0
"beta[65]",0,0,0,0,1.933667375e-05,0.00374366597466835,NA,1.32358579859258e-05,0.4,80000,-7.48047676094044e-05,1.02250066893875,0
"beta[66]",0,0,0,0,1.2532311925e-05,0.00357660409943255,NA,1.26452050616416e-05,0.4,80000,-8.46171750709706e-05,1.01598508507926,0
