"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",0,0,0,0,0.000252025025,0.0588601763563761,NA,0.000616008394874158,1,9130,0.207619744339285,1.12932821482056,0
"beta[2]",0,-6.1274,0,0,-0.67344051447105,1.92798058235089,NA,0.0902461896109941,4.7,456,0.847373935496569,1.22667075868874,0
"beta[3]",0,0,0,0,-0.014129304815,0.22686976846845,NA,0.00603177010797649,2.7,1415,0.681369058833751,1.14470325492935,0
"beta[4]",0,0,0,0,0.00160244600675,0.0485048445109355,NA,0.00065619419216912,1.4,5464,0.297943781743154,1.09635622713894,0
"beta[5]",0,0,0,0,0.0049463993132,0.0862702308064165,NA,0.00112354203231184,1.3,5896,0.476220353193913,1.10800472050039,0
"beta[6]",0,0,0,0,-0.001317075885,0.066026617159892,NA,0.000662373031541307,1,9936,0.326843219005693,1.08999633836732,0
"beta[7]",0,0,0,0,-0.04968904665175,0.338882103271763,NA,0.00445448787379257,1.3,5788,0.6047639423494,1.31703635110132,0
"beta[8]",0,0,0,0,-0.00410794554075,0.0784621093173581,NA,0.00127914109477353,1.6,3763,0.318383471123086,1.23903404976061,0
"beta[9]",0,0,0,0,-0.0402654407875,0.293393836884108,NA,0.00400176829418195,1.4,5375,0.359549489506489,1.33313387608339,0
"beta[10]",0,0,0,0,-0.00090441644875,0.0360293516904869,NA,0.000309472524064069,0.9,13554,0.0810186015898639,1.20701117330389,0
"beta[11]",-5.41214927099645,0,0,0,0.11034026225445,0.598403077644545,NA,0.013672038876217,2.3,1916,0.566632328634957,1.37756622289281,0
"beta[12]",-1.87279727309942,0,0,0,0.0016741090805,0.0434063497319135,NA,0.00077145553685599,1.8,3166,0.303513696845262,1.0278773418889,0
"beta[13]",0,0,0,0,-0.00095288717535,0.0534363578295651,NA,0.000622853773057442,1.2,7360,0.204643615684164,1.16724303011013,0
"beta[14]",0,0,0,0,-0.00261069421865,0.10260696562506,NA,0.00167336986454682,1.6,3760,0.536565575665146,1.12569512407979,0
"beta[15]",0,0,0,0,0.001351901945,0.0551092958115522,NA,0.00052297263328407,0.9,11104,0.196018176958358,1.17875810356954,0
"beta[16]",0,0,0,0,0.00457321761275,0.0951374297376115,NA,0.00125654582595927,1.3,5733,0.354634326875286,1.26060361039876,0
"beta[17]",0,0,0,0,-0.00910028684975,0.112716471632603,NA,0.000920373610379357,0.8,14998,0.362964081808269,1.27031218356744,0
"beta[18]",0,0,0,0,0.0331507999925,0.375111376461943,NA,0.00450727684287142,1.2,6926,0.470509791585544,1.28296062822019,0
"beta[19]",10.6571082955106,0,0,0,0.00121002340125,0.0350890813926245,NA,0.000316358436541739,0.9,12302,0.180474427016354,1.0732646626542,0
"beta[20]",0,0,0,0,-0.0002669446005,0.0285250893169429,NA,0.0002688605727949,0.9,11256,0.148553331888199,1.10440556445474,0
"beta[21]",0,0,0,0,0.008966178527,0.0958620426964905,NA,0.00137261178967844,1.4,4878,0.437112441899365,1.18858399767727,0
"beta[22]",0,-0.38526,0,0.266603,0.21446092183284,1.00621309225079,NA,0.0153467334145966,1.5,4299,0.318192437594791,1.41356699617404,0
"beta[23]",-5.44527369085699,-4.65186,0,0,-0.52686406557975,1.47654192180836,NA,0.0273578694410213,1.9,2913,0.514315121408005,1.74674734789994,0
"beta[24]",0,0,0,0,-0.07531734357375,0.449070787535955,NA,0.00610249402368335,1.4,5415,0.478420551387796,1.36444899811938,0
"beta[25]",0,0,0,0,0.001769690646,0.040630620709611,NA,0.000492485842671812,1.2,6806,0.266364560083079,1.1866958187122,0
"beta[26]",0,-8.46153,0,0,-1.23192821938855,2.73799443542602,NA,0.0652052713398384,2.4,1763,0.550025956174195,2.29462033503943,0
"beta[27]",0,0,0,0,0.0156059285995,0.156790236323058,NA,0.00310729703018328,2,2546,0.501713622114966,1.28267998025521,0
"beta[28]",0,0,0,0,-0.02135887407875,0.21932624355935,NA,0.00235391731877794,1.1,8682,0.344700967669445,1.30661863399487,0
"beta[29]",0,0,0,0,0.0025547715175,0.0633493171030194,NA,0.000620357133834266,1,10428,0.283385626890307,1.12921836313574,0
"beta[30]",0,0,0,0,0.02329689757925,0.217459995565083,NA,0.00201869020102082,0.9,11604,0.532153551097142,1.28751931186855,0
"beta[31]",-28.7385791523342,-1.43304,0,0,-0.0979254833085,0.497419029665576,NA,0.00680367297843709,1.4,5345,0.483313069471341,1.38908595553441,0
"beta[32]",0,0,0,0,0.06847297776625,0.51219045577582,NA,0.00747270300524694,1.5,4698,0.475525640073894,1.31702478613967,0
"beta[33]",0,0,0,0,-0.000397340946,0.021900434336948,NA,0.000191029529965248,0.9,13143,0.0134353422158117,1.06005551702289,0
"beta[34]",0,0,0,0,-0.00031491368825,0.0224081325224529,NA,0.000209141671497007,0.9,11480,-0.000561630848247142,1.02562075898451,0
"beta[35]",0,0,0,0,0.01331832813375,0.192652088358464,NA,0.00199393252973647,1,9335,0.3458803482544,1.29278543547772,0
"beta[36]",0,0,0,0,-0.048682271210775,0.370615157930849,NA,0.00445382076179566,1.2,6924,0.472151500961529,1.31884373228566,0
"beta[37]",0,-0.00840212,0,5.56629,0.4372424914345,1.77941002576907,NA,0.0446238778862422,2.5,1590,0.598304160582701,1.46267101449766,0
"beta[38]",0,-6.47486,0,0.000460812,-0.349034215240325,1.71267260137465,NA,0.0409834466088357,2.4,1746,0.613811560077677,1.50534140483305,0
"beta[39]",0,-19.0866,0,0,-3.00970420522425,6.31369230756044,NA,0.0794331671539656,1.3,6318,0.327345612873926,2.59550273885952,0
"beta[40]",0,0,0,0,-0.00023705668785,0.021947485013585,NA,0.000165631562215712,0.8,17558,0.069291295007506,1.1729217504215,0
"beta[41]",0,-10.8852,0,0,-2.07345316545,3.85773110520374,NA,0.0374520184119442,1,10610,0.47557426470462,4.26392832834021,0
"beta[42]",0,0,0,0,0.041114422037,0.316167925024272,NA,0.00438653276592381,1.4,5195,0.391653384043534,1.31576500646641,0
"beta[43]",0,0,0,0,-0.08068645066625,0.608943704641477,NA,0.0107979916790538,1.8,3180,0.546983005109969,1.32155334329339,0
"beta[44]",0,0,0,0,-0.00346230696825,0.066352260746108,NA,0.000565418692625916,0.9,13771,0.395061114476135,1.22538439990266,0
"beta[45]",0,0,0,0,0.021678395484,0.187921609093486,NA,0.00376731942805946,2,2488,0.549388653505443,1.23975808134668,0
"beta[46]",0,0,0,0,0.000908143123,0.0368767224712404,NA,0.000394065265175388,1.1,8757,0.0966269896063196,1.14436657693654,0
"beta[47]",0,0,0,0,0.00387639812175,0.100567773143687,NA,0.00151736742083064,1.5,4393,0.544563275325565,1.18525726144731,0
"beta[48]",0,0,0,0,0.00085865864175,0.0414649312484889,NA,0.00061880700883482,1.5,4490,0.247669327113135,1.08056615362922,0
"beta[49]",0,0,0,8.8832,1.23437866424525,2.83641227131348,NA,0.094123164663545,3.3,908,0.730582814862404,2.22768917751882,0
"beta[50]",0,0,0,0,0.00239539993375,0.0466844933790644,NA,0.000454330736523131,1,10558,0.326821565796996,1.05142538514601,0
"beta[51]",0,0,0,0,-6.66885797499999e-06,0.0358408654377968,NA,0.000373416732563426,1,9212,0.077975003938967,1.08089152153338,0
"beta[52]",0,0,0,0,0.00674321699175,0.200861029789138,NA,0.00193366480873712,1,10790,0.554405375674836,1.27171338435197,0
"beta[53]",0,0,0,0,0.01090724683825,0.128903350615104,NA,0.00211130625552922,1.6,3728,0.373186851779101,1.26753584508079,0
"beta[54]",0,0,0,0,-1.3400308e-05,0.0289057152273101,NA,0.000262103706088404,0.9,12162,0.0028637134307899,1.04130990860532,0
"beta[55]",0,0,0,0,0.003285480616,0.0702534605543506,NA,0.000764523783900391,1.1,8444,0.224892512739909,1.25514081496568,0
"beta[56]",0,0,0,0,-0.02332513545975,0.336022382032379,NA,0.0158178707769817,4.7,451,0.860869825777393,1.21340844020549,0
"beta[57]",9.58431126960785,0,0,0,-0.0065000069058,0.169358067163635,NA,0.00396497594277476,2.3,1824,0.539679606158764,1.2276351100769,0
"beta[58]",0,0,0,0,-0.003862311902,0.0905719931177993,NA,0.00128788152406292,1.4,4946,0.377756857446724,1.13735366617891,0
