"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[142]",0,-1.71436,0.0002909325,1.28483,0.170940124536913,0.797754538662309,NA,0.404070387582863,50.7,4,NA,1.27615662167441,0.390882596533262
"beta[143]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[144]",0,-0.410228,0,0.306142,-0.01694826290875,0.205458963229552,NA,0.112231894256392,54.6,3,NA,4.75949628113893,0.263008126063959
"beta[145]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[146]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[147]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[148]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[149]",0,0,0,0.064476,0.006825535797705,0.0206964877891302,NA,0.0172585964648384,83.4,1,NA,1.65243092593785,0
"beta[150]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[151]",0,-0.000409625,0,5.24122,1.12520411562361,1.99262099789052,NA,0.047827664356479,2.4,1736,NA,7.51337784982901,0
"beta[152]",0,-0.148387,0,4.26796,0.723813158037349,1.37054761998949,NA,0.709397981474807,51.8,4,NA,2.49396451542095,0
"beta[153]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[154]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[155]",0,0,0,0,3.88765e-11,7.85267785628677e-09,NA,7.80838179737053e-11,1,10114,NA,1.29102018679703,0
"beta[156]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[157]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[158]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[159]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[160]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[161]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[162]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[163]",0,-2.92324,0,0,-0.648376229125,1.13357606963519,NA,0.934975059138639,82.5,1,NA,11.5657685684966,0
"beta[164]",0,-0.0249418,0,0,-0.00517516881775,0.00928296489817227,NA,0.00672383730311404,72.4,2,NA,5.98396344364767,0
"beta[165]",0,0,0,3.06552,0.631202615375,1.1231776013829,NA,0.924094742803982,82.3,1,NA,6.81302057273696,0
"beta[166]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[167]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[168]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[169]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[170]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[171]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[172]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[173]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[174]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[175]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[176]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[177]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[178]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[179]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[180]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[181]",0,-1.25239,-0.448794,0.738998,-0.368597904525,0.760273076725871,NA,0.341184997687719,44.9,5,NA,33.8905808927427,-1.03178608205696
"beta[182]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[183]",0,0,0,0.870094,0.217025625475,0.375903095253379,NA,0.302439204225374,80.5,2,NA,593.034109066518,0
"beta[184]",0,0,0,1.34347,0.335036195875,0.580305520202651,NA,0.49285406364612,84.9,1,NA,576.869029574208,0
"beta[185]",0,-2.71073,-1.673665,0,-1.50967119,0.966469370333055,NA,0.466239091162558,48.2,4,NA,114.317307616743,-1.68725707558258
"beta[186]",0,-4.04644,-2.606985,-1.06104,-2.579885089125,1.33699154434606,NA,0.436365779306145,32.6,9,0.998834438930252,728.893048396159,-4.02519033843428
"beta[187]",0,-8.15937,-4.57002,-1.36356,-4.671869949875,3.1730609911428,NA,1.06763367141551,33.6,9,0.998418285427437,276.258748650672,-1.50813460183348
"beta[188]",0,1.41015,1.74857,2.55483,1.864438823875,0.421829541381602,NA,0.150788464362602,35.7,8,0.998913569526567,264.898844871577,1.41075113514949
"beta[189]",0,-8.32928,-5.83961,-2.36958,-5.575880713125,2.46548345962524,NA,1.03733496050016,42.1,6,0.99894050414051,109.556926463458,-7.68579257413693
"beta[190]",0,-3.37014,-1.96594,-1.68807,-2.248328954375,0.68376704320876,NA,0.261886496641032,38.3,7,0.998968971955183,334.97672750831,-1.69365261092695
"beta[191]",0,2.55917,4.60437,4.84495,4.14724798425,0.904981266063864,NA,0.349515068535943,38.6,7,0.99898437882709,38.970894758701,4.71777180757095
"beta[192]",0,1.02775,3.706375,4.9757,3.354746927875,1.58107438371031,NA,0.42291831423318,26.7,14,0.997859466929209,1658.90306129134,4.65854236518591
"beta[193]",0,1.33751,3.22192,9.73484,4.38803002925,3.31181038217003,NA,1.30783472473724,39.5,6,0.998878253698814,244.304922224279,1.63217416351709
"beta[194]",0,-0.262603,2.936575,4.49012,2.62667349031655,1.47596471945011,NA,0.58324407841937,39.5,6,0.998871513933862,5.37490121072976,2.70723477289996
"beta[195]",0,1.99351,2.23134,4.96697,2.856147484125,1.22830548216707,NA,0.480720469429045,39.1,7,0.998907386164133,990.257724902129,2.0215084465488
"beta[196]",0,1.62394,2.347345,3.32264,2.41024838475,0.682933416880606,NA,0.258972960989176,37.9,7,0.998884648242335,1085.16880275848,1.89549972011923
"beta[197]",0,-5.99649,-1.99889,-1.02721,-2.754873371125,1.91519134532306,NA,0.800400618380548,41.8,6,0.99891601985281,2597.1792628652,-1.8352204930088
"beta[198]",0,-3.85716,-1.32406,-1.06564,-1.89264049275,1.13862802310969,NA,0.454876756684325,39.9,6,0.999148556623695,3334.14410953201,-1.32559184279215
"beta[199]",0,-4.38687,-2.73365,-1.38843,-2.811569403875,1.06491797671864,NA,0.43694579773661,41,6,0.999063983604828,639.739011426548,-1.38985431996201
"beta[200]",0,-4.27405,-1.709605,-0.989303,-2.15897692015,1.24800598872487,NA,0.545965999501299,43.7,5,0.999029173417883,49.9317183701541,-4.24445325840134
