"","beta[76]","beta[93]"
"319",8.70955,0
"320",8.56648,0
"321",7.92174,0
"322",8.59362,0
"323",8.53119,0
"324",7.90872,0
"325",8.96348,0
"326",9.00597,0
"327",9.42771,0
"328",9.54189,0
"329",9.66914,0
"330",10.2634,0
"331",9.60004,0
"332",9.43082,0
"333",9.42449,0
"334",9.44467,0
"335",9.44287,0
"336",9.32928,0
"337",9.6466,0
"338",9.278,0
"339",9.78249,0
"340",9.29345,0
"341",9.58923,0
"342",9.30685,0
"343",9.25871,0
"344",9.19401,0
"345",9.56292,0
"346",9.10561,0
"347",10.3694,0
"348",10.4195,0
"349",10.2669,0
"350",10.0545,0
"351",9.75924,0
"352",9.96392,0
"353",10.3629,0
"354",10.1039,0
"355",10.1967,0
"356",10.0884,0
"357",10.0684,0
"358",10.1197,0
"359",9.93258,0
"360",10.1186,0
"361",10.3244,0
"362",10.512,0
"363",10.2063,0
"364",10.2479,0
"365",10.4756,0
"366",10.4956,0
"367",10.4892,0
"368",10.2666,0
"369",10.2199,0
"370",9.7496,0
"371",9.75334,0
"372",10.3182,0
"373",9.57795,0
"374",9.69882,0
"375",10.0221,0
"376",10.5056,0
"377",10.7206,0
"378",11.6417,0
"379",11.4392,0
"380",11.9005,0
"381",11.9421,0
"382",11.4116,0
"383",9.68525,0
"384",9.41525,0
"385",8.66933,0
"386",9.06329,0
"387",8.32568,0
"388",8.26216,0
"389",9.1513,0
"390",9.04762,0
"391",9.29034,0
"392",7.64589,0
"393",7.82601,0
"394",8.12792,0
"395",8.56912,0
"396",8.38735,0
"397",9.1745,0
"398",9.17582,0
"399",8.27747,0
"400",8.77404,0
"401",8.52626,0
"402",8.45992,0
"403",8.93409,0
"404",8.86272,0
"405",8.41815,0
"406",7.49502,0
"407",8.258,0
"408",8.95838,0
"409",8.78905,0
"410",9.4475,0
"411",9.26016,0
"412",9.22518,0
"413",9.40787,0
"414",8.9404,0
"415",9.20652,0
"416",9.04541,0
"417",8.10435,0
"418",7.84483,0
"419",8.10484,0
"420",7.48362,0
"421",8.16088,0
"422",8.72453,-0.845455
"423",8.01256,0
"424",9.05147,0
"425",8.93479,0
"426",8.96715,0
"427",9.56206,0
"428",9.61909,0
"429",7.80216,0
"430",9.35188,0
"431",9.50883,0
"432",8.73656,0
"433",8.1729,0
"434",8.66825,0
"435",8.4036,0
"436",9.26537,0
"437",8.18825,0
"438",8.28056,-2.85741
"439",8.27921,-3.03947
"440",8.54498,-2.63229
"441",9.3944,-3.11229
"442",9.30125,-2.26533
"443",8.95595,-3.55513
"444",8.18837,-2.09118
"445",8.15563,-3.30111
"446",8.11528,-3.4918
"447",7.97161,-3.3836
"448",8.18583,-2.4387
"449",7.69218,-3.38695
"450",7.75294,-2.77086
"451",7.12449,-3.22411
"452",7.1346,-2.86095
"453",8.03473,-3.34162
"454",7.95255,-2.30324
"455",7.77676,-1.85144
"456",7.66656,-1.5081
"457",7.74632,-1.34823
"458",7.82274,-1.97872
"459",7.52642,-3.80809
"460",8.18908,-4.01496
"461",8.81546,-3.45449
"462",9.08118,-4.00897
"463",8.30064,-1.71214
"464",7.9187,-1.93392
"465",7.91496,-1.55124
"466",7.89999,0
"467",7.91789,0
"468",7.87256,0
"469",8.29826,0
"470",8.46567,0
"471",8.13671,0
"472",8.32209,0
"473",8.22412,0
"474",8.64044,0
"475",8.31984,0
"476",7.75733,0
"477",7.59818,0
"478",7.47308,0
"479",7.53847,0
"480",8.0703,0
"481",7.68009,0
"482",7.99972,0
"483",7.97687,0
"484",8.20702,0
"485",8.88098,0
"486",8.1069,0
"487",8.02548,0
"488",8.44264,0
"489",7.95989,0
"490",7.9439,0
"491",7.76853,0
"492",7.76642,0
"493",7.56759,0
"494",7.86636,0
"495",7.55128,0
"496",7.73236,0
"497",7.64077,0
"498",7.7586,0
"499",7.61754,0
"500",8.1768,0
"501",8.2287,0
"502",8.13893,0
"503",7.89171,0
"504",7.8974,0
"505",7.91819,0
"506",8.35426,0
"507",8.0407,0
"508",7.72998,0
"509",8.28938,0
"510",8.03376,0
"511",7.81887,0
"512",8.10273,0
"513",8.15911,0
"514",8.47147,0
"515",8.70088,0
"516",8.16888,0
"517",8.43448,0
"518",8.69578,0
"519",8.58648,0
"520",8.19318,0
"521",8.4424,0
"522",7.62879,0
"523",8.26296,0
"524",7.83108,0
"525",7.88064,0
"526",8.18995,0
"527",7.84308,0
"528",7.83554,0
"529",9.16846,0
"530",7.36821,0
"531",7.237,0
"532",8.27569,0
"533",8.69165,0
"534",7.38463,0
"535",7.33266,0
"536",8.00029,0
"537",7.79029,0
"538",7.50576,0
"539",7.45541,0
"540",7.6775,0
"541",7.63896,0
"542",6.84791,0
"543",7.4171,0
"544",8.57777,0
"545",9.0118,0
"546",9.55403,0
"547",9.74086,0
"548",10.7301,0
"549",10.8198,0
"550",10.6543,0
"551",9.12239,0
"552",8.24654,0
"553",8.37093,0
"554",8.82973,0
"555",8.41426,0
"556",7.83513,0
"557",8.11724,0
"558",8.08943,0
"559",7.96386,0
"560",7.92604,0
"561",7.35607,0
"562",8.57344,0
"563",8.33846,0
"564",8.23762,0
"565",8.68903,0
"566",7.94052,0
"567",8.51843,0
"568",8.28698,0
"569",8.38614,0
"570",7.80264,0
"571",7.77727,0
"572",8.08456,0
"573",7.98197,0
"574",8.06832,0
"575",7.87432,0
"576",8.39022,0
"577",8.26366,0
"578",7.7656,0
"579",7.3948,0
"580",8.8366,0
"581",8.81399,0
"582",8.82772,0
"583",7.86713,0
"584",7.7089,0
"585",7.60706,0
"586",7.61811,0
"587",7.92148,0
"588",8.05489,0
"589",7.06294,0
"590",7.42003,0
"591",7.34783,0
"592",7.53901,0
"593",7.10681,0
"594",9.77161,0
"595",9.76064,0
"596",10.4953,0
"597",10.6845,0
"598",9.71931,0
"599",9.20492,0
"600",9.28376,0
"601",9.23414,0
"602",8.54613,0
"603",8.23796,0
"604",8.4641,0
"605",8.43902,0
"606",8.93986,0
"607",9.08542,0
"608",8.26485,0
