"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",-0.470910901203752,0,0,0,-0.00118821689375,0.0297977699680152,NA,0.000108256313690523,0.4,75764,0.00340549186675313,1.00157576436904,0
"beta[2]",0,0,0,0,0.00025103438375,0.0140851390920427,NA,4.97984868296933e-05,0.4,80000,-0.000414976630639345,1.02795346339496,0
"beta[3]",0,0,0,0,-9.4402168625e-05,0.00959626040293919,NA,3.41529328446019e-05,0.4,78949,-0.000137861393963809,1.03802774091121,0
"beta[4]",0,0,0,0,-0.00012067454625,0.0110466206174794,NA,3.90557017390706e-05,0.4,80000,-0.000140488343700673,1.04893337383678,0
"beta[5]",0,0,0,0,-9.399536625e-05,0.0147683068055385,NA,5.22138494441997e-05,0.4,80000,-5.82336454522883e-05,1.00708150458458,0
"beta[6]",0,0,0,0,-3.3769039e-05,0.00795353858751614,NA,2.7948316948051e-05,0.4,80986,-4.36742319723083e-05,1.03353152901006,0
"beta[7]",0,0,0,0,-8.624221375e-05,0.00922293252807282,NA,3.40355591841037e-05,0.4,73430,-6.90518418241634e-05,1.04034495067521,0
"beta[8]",0,0,0,0,-0.00038391838325,0.0183220229168008,NA,6.47781332476324e-05,0.4,80000,-0.00048743529596101,1.01713838746072,0
"beta[9]",0,0,0,0,-0.00016263023125,0.0108638706016523,NA,3.81817994953187e-05,0.4,80957,-0.000249578649309499,1.02758606544887,0
"beta[10]",0,0,0,0,-0.000757211324125,0.0310837171139756,NA,0.000111402080656688,0.4,77854,-0.000605996586212306,1.04222839447675,0
"beta[11]",0,0,0,0,0.00017268615125,0.00986870920817003,NA,3.522924741369e-05,0.4,78472,-0.000284776750571664,1.02216862589584,0
"beta[12]",0,0,0,0,-0.000138448247375,0.00793280019979926,NA,2.84182075069839e-05,0.4,77922,-0.000353277790844588,1.01018290976414,0
"beta[13]",0,0,0,0,-0.000157451398625,0.0135156469859717,NA,5.1691930777533e-05,0.4,68364,-0.000159616197508622,1.04311238190882,0
"beta[14]",0,0,0,0,8.15768000000001e-06,0.00755021466675676,NA,2.66940399513893e-05,0.4,80000,-6.27369681089138e-05,1.01605660229768,0
"beta[15]",0,0,0,0,9.891423e-05,0.00726808976008279,NA,2.68567586676936e-05,0.4,73237,-0.000247399142169996,1.03941143632696,0
"beta[16]",0,0,0,0,9.7167956875e-05,0.0102927956399877,NA,3.59804557546994e-05,0.3,81834,-0.000135629181784264,1.02068673369027,0
"beta[17]",0,0,0,0,1.074704425e-05,0.00931512774306234,NA,3.16775890203135e-05,0.3,86472,-2.00954177096688e-05,1.06702886834948,0
"beta[18]",0,0,0,0,-0.00060359117875,0.0262707605933376,NA,9.28811648123767e-05,0.4,80000,-0.000563447169118761,1.01512109462081,0
"beta[19]",0,0,0,0,0.00018873939875,0.0124438159646433,NA,4.39955332621836e-05,0.4,80000,-0.000221008009284024,1.03938868614757,0
"beta[20]",0,0,0,0,-0.000103975352125,0.0113734105334533,NA,3.78770979445582e-05,0.3,90163,-0.0001090714243305,1.11554389833797,0
"beta[21]",0,0,0,0,0.0002754052925,0.0168998395623882,NA,6.07590581429086e-05,0.4,77365,-0.000272872295786258,1.04005485417568,0
"beta[22]",0,0,0,0,6.733711725e-05,0.0104444947817729,NA,3.69268654312922e-05,0.4,80000,-0.000118462748357202,1.03828295003399,0
"beta[23]",0,0,0,0,-6.80382565e-05,0.0100056872583555,NA,3.53754465540807e-05,0.4,80000,-0.000111147140020877,1.01193144417443,0
"beta[24]",0,0,0,0,-4.438766625e-05,0.0188217458102621,NA,6.34527997563191e-05,0.3,87987,-2.35467597573587e-05,1.01005954188131,0
"beta[25]",0,0,0,0,0.000381897776125,0.0200238110721954,NA,7.0794862971749e-05,0.4,80000,-0.000377663566641445,1.02157095354683,0
"beta[26]",0,0,0,0,-2.834829375e-05,0.005681778858912,NA,2.0291491094029e-05,0.4,78404,-1.51688866044642e-05,1.06540738404807,0
"beta[27]",0,0,0,0,-0.0001998987495,0.0114878306174992,NA,4.23017432615589e-05,0.4,73750,-0.000331372406452896,1.00435868148427,0
"beta[28]",0,0,0,0,0.0003257024775,0.015534064254961,NA,5.5230571552369e-05,0.4,79106,-0.000463470550372911,1.02201336734017,0
"beta[29]",0,0,0,0,4.72162527499998e-06,0.0122833008530651,NA,4.57743416594483e-05,0.4,72009,-3.46226018999353e-05,1.07331621356936,0
"beta[30]",0,0,0,0,-0.000285203117625,0.0180546798712906,NA,6.52413389066535e-05,0.4,76583,-0.000218249862435719,1.0158507472899,0
"beta[31]",0,0,0,0,0.00017059778025,0.0110737930204758,NA,3.91517706911696e-05,0.4,80000,-0.000185008723776721,1.01591535082801,0
"beta[32]",0,0,0,0,-2.48138125e-05,0.0106146952586105,NA,3.75286149879642e-05,0.4,80000,-6.1682526254608e-05,1.0289569946716,0
"beta[33]",0,0,0,0,8.856579e-05,0.00724831458441401,NA,2.56266619740616e-05,0.4,80000,-0.00013341441876336,1.02251832320928,0
"beta[34]",0,0,0,0,-2.5451860375e-05,0.00593107313939687,NA,2.09695101829036e-05,0.4,80000,-5.56693952451003e-05,1.00825413208416,0
"beta[35]",0,0,0,0,-0.000217712145625,0.0137934110298682,NA,4.88250791480827e-05,0.4,79810,-0.00181776718708225,1.01212341398837,0
"beta[36]",0,0,0,0,-0.0004699714075,0.0190431270009653,NA,6.76062866555586e-05,0.4,79342,-0.000635109326603067,1.00481809699425,0
"beta[37]",0,0,0,0,-0.00010457651375,0.00830172516348961,NA,2.70492774861385e-05,0.3,94194,-0.000188247862202912,1.04490305345551,0
"beta[38]",0,0,0,0,-0.0003328663375,0.0159222673783565,NA,5.6293716175498e-05,0.4,80000,-0.000445906013935639,1.03088599702312,0
