"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",8.62986920359445,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[2]",-0.522768682551027,0,0,0,-0.0005412797038,0.0038259306849524,NA,2.70506413819836e-05,0.7,20004,NA,1.34103229769517,0
"beta[3]",0,-0.0906971,0,0,-0.0161316777206,0.0320463675888348,NA,0.000384164922601885,1.2,6959,NA,3.0488051396692,0
"beta[4]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[5]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[6]",0,0,0,0,-3.62458e-07,3.28196140567127e-05,NA,2.21905599069499e-07,0.7,21874,NA,1.27994966536506,0
"beta[7]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[8]",0,0,0,0.298437,0.06291060960175,0.111742375464218,NA,0.000456169392590415,0.4,60004,0.494881447282457,7.05312936849648,0
"beta[9]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[10]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[11]",0,0,0,0,-6.9439375e-09,1.96404211775422e-06,NA,1.38878749999983e-08,0.7,20000,NA,1.29099175938538,0
"beta[12]",0,0,0,0,-3.5806125e-09,1.01275015182053e-06,NA,7.16122499999965e-09,0.7,20000,NA,1.29099175938538,0
"beta[13]",0,0,0,0,-1.6551e-08,4.68132973416742e-06,NA,3.31020000000043e-08,0.7,20000,NA,1.29099175938538,0
"beta[14]",0,0,0,0,3.9017185e-08,7.65842152889005e-06,NA,3.12653749682121e-08,0.4,60000,-3.21312364659256e-05,1.14926640392071,0
"beta[15]",0,0,0,0.651142,0.15729740853655,0.272719927858192,NA,0.00229925213734857,0.8,14069,NA,35.5137071698202,0
"beta[16]",0,0,0,0.365517,0.06327612219915,0.12009015126357,NA,0.0393029188591072,32.7,9,NA,4.82061229070837,0
"beta[17]",0,0,0,0,-3.517175e-09,9.94807317247918e-07,NA,7.03434999999997e-09,0.7,20000,NA,1.29099175938538,0
"beta[18]",0,0,0,0,-1.11719625e-07,1.83853548870444e-05,NA,7.50578970220815e-08,0.4,60000,-1.80045333179464e-05,1.15878781937216,0
