"","beta[115]","beta[161]"
"289",0,-3.03767
"290",0,-3.05011
"291",0,-3.02657
"292",0,-3.08693
"293",0,-3.09775
"294",0,-2.86132
"295",0,-2.98824
"296",0,-2.95982
"297",0,-2.52871
"298",0,-2.52576
"299",0,-2.64291
"300",0,-2.58366
"301",0,-2.53655
"302",0,-2.56786
"303",0,-2.55365
"304",0,-2.54948
"305",0,-2.56618
"306",0,-2.65197
"307",0,-2.69469
"308",0,-2.74529
"309",0,-3.13222
"310",0,-3.12203
"311",0,-3.06358
"312",0,-3.15184
"313",0,-3.01998
"314",0,-3.3054
"315",0,-3.00542
"316",0,-3.00528
"317",0,-3.13883
"318",0,-3.03222
"319",0,-3.03643
"320",0,-3.04742
"321",0,-3.09607
"322",0,-3.31594
"323",0,-3.29927
"324",0,-3.31846
"325",0,-3.45279
"326",0,-3.39672
"327",0,-3.10917
"328",0,-3.19898
"329",0,-3.12767
"330",0,-3.05124
"331",0,-2.89122
"332",0,-3.09593
"333",0,-2.95625
"334",0,-3.09492
"335",0,-2.90489
"336",0,-2.73182
"337",0,-2.59383
"338",0,-2.52405
"339",0,-2.75658
"340",0,-2.61478
"341",0,-2.67986
"342",0,-2.70603
"343",0,-2.80081
"344",0,-2.84591
"345",0,-2.63371
"346",0,-2.60348
"347",0,-2.70656
"348",0,-3.01222
"349",0,-3.20541
"350",0,-3.23474
"351",0,-3.17963
"352",0,-3.20145
"353",0,-3.23428
"354",0,-3.19345
"355",0,-3.18363
"356",0,-3.11809
"357",0,-3.08499
"358",0,-2.91285
"359",0,-2.92043
"360",0,-3.15304
"361",0,-3.23401
"362",0,-3.07021
"363",0,-3.26161
"364",0,-3.14603
"365",0,-3.16004
"366",0,-3.18486
"367",0,-2.98436
"368",0,-3.13586
"369",0,-2.80822
"370",0,-3.21462
"371",0,-2.99012
"372",0,-2.93205
"373",0,-3.1125
"374",0,-3.1562
"375",0,-3.10125
"376",0,-3.02834
"377",0,-3.11075
"378",0,-3.23318
"379",0,-3.30297
"380",0,-3.11132
"381",0,-2.94078
"382",0,-2.7666
"383",0,-2.98665
"384",0,-3.06588
"385",0,-3.33655
"386",0,-3.25148
"387",0,-3.62513
"388",0,-3.61187
"389",0,-3.5471
"390",0,-3.74864
"391",0,-3.73846
"392",0,-3.53282
"393",0,-3.52028
"394",0,-3.45846
"395",0,-3.63626
"396",0,-3.46288
"397",0,-3.50071
"398",0,-3.32381
"399",0,-3.33489
"400",0,-3.68025
"401",0,-3.78025
"402",0,-3.79991
"403",0,-3.77196
"404",0,-3.74187
"405",0,-3.82261
"406",0,-3.72876
"407",0,-3.70867
"408",0,-3.69749
"409",0,-3.59655
"410",0,-3.74747
"411",0,-3.57376
"412",0,-3.34976
"413",0,-3.33466
"414",0,-3.01285
"415",0,-2.89521
"416",0,-3.1253
"417",0,-3.20556
"418",0,-2.98913
"419",0,-3.18152
"420",0,-3.23848
"421",0,-2.88437
"422",0,-3.01147
"423",0,-3.17488
"424",0,-3.23418
"425",0,-3.12699
"426",0,-3.04238
"427",0,-3.00655
