"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",10.6121987936305,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[2]",1.59521205222488,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[3]",4.4429290385679,0,0,0.661364,0.1590138778,0.275771330507682,NA,0.190431854063197,69.1,2,NA,31.3960771484883,0
"beta[4]",0.563331932953633,0,0,0,-5.013213875e-09,3.48733556461487e-07,NA,1.21310899886941e-08,3.5,826,NA,1.29145155414885,0
"beta[5]",7.80182531992805,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[6]",0,0,0,0.257172,0.04206002039875,0.0852840205811948,NA,0.0709173453645434,83.2,1,NA,2.85073942131995,0
"beta[7]",0,-0.715671,0,1.00672e-05,-0.160875348119349,0.281195291804235,NA,0.16452326450129,58.5,3,NA,11.0227277537675,0
"beta[8]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[9]",0,-0.503432,0,0,-0.118842094275,0.206566732667016,NA,0.228842015087509,110.8,1,NA,18.8579050364429,0
"beta[10]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[11]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[12]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[13]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[14]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[15]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[16]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[17]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[18]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[19]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[20]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[21]",0,0,0,0.0935339,0.016761200028,0.0322692195673741,NA,0.0244817357170981,75.9,2,NA,3.46016275894639,0
"beta[22]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[23]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[24]",0,0,0,0.0651349,0.0119630152845787,0.0223916861959594,NA,0.0080777095294241,36.1,8,NA,4.13851900837582,0
"beta[25]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[26]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[27]",0,-0.134188,0,0,-0.0173577777867137,0.0410655262475467,NA,0.0306644196414851,74.7,2,NA,2.0802716272256,0
"beta[28]",0,0,0,3.10847,0.77399899675,1.34067319624041,NA,0.641044906091114,47.8,4,NA,168.201720669133,0
"beta[29]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[30]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[31]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[32]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[33]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[34]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[35]",0,-3.23441,0,0,-0.7623224195,1.32608016215543,NA,0.946660788589825,71.4,2,NA,17.0501026820458,0
"beta[36]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[37]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[38]",0,-0.219081,0,0,-0.044206493335,0.0802694181754126,NA,0.0622496918294676,77.6,2,NA,5.15570355827788,0
"beta[39]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[40]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[41]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[42]",0,-1.57466,0,0,-0.3001928270875,0.559720152131273,NA,0.490387465130698,87.6,1,NA,4.13331920149071,0
"beta[43]",0,0,0,2.95612,0.657365161,1.16019023567758,NA,0.843902084678864,72.7,2,NA,8.16146870469153,0
"beta[44]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[45]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[46]",0,0,0,0.106889,0.014740900735725,0.0339310968705605,NA,0.0324163449319436,95.5,1,NA,2.16622109026965,0
