"","TrueCoef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf","MCMC.mode"
"beta[1]",-2.35938941827044,0,0.0509245,0.510881,0.1633197792375,0.185515264607512,NA,0.0903015377918424,48.7,4,NA,6.53149071874622,0.237534571449669
"beta[2]",3.71598071074333,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[3]",24.8914767075023,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[4]",-4.67182115630662,-6.35933,-5.18972,0,-3.964289418125,2.38461237754984,NA,0.971347007190819,40.7,6,NA,6.32481544443399,-5.63507463838674
"beta[5]",-4.22950175342976,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[6]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[7]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[8]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[9]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[10]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[11]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[12]",0,0,0,0,-0.00026135532283375,0.00140603472808182,NA,0.000677426494446605,48.2,4,NA,1.38112693125473,0
"beta[13]",0,-0.0308647,0,0,-0.00620291862375,0.0112911721714677,NA,0.00718243082483701,63.6,2,NA,5.02588429864621,0
"beta[14]",0,-1.6635,-0.1364545,0,-0.4067655765875,0.560263550047577,NA,0.30499624239253,54.4,3,NA,4.69639032104413,-0.313402560813796
"beta[15]",0,0,0,0.314082,0.0661651188125,0.11688674577121,NA,0.101973087855004,87.2,1,NA,7.96242185649288,0
"beta[16]",0,-0.074254,0,0,-0.01666018881,0.0291558824184487,NA,0.020794042019789,71.3,2,NA,11.0073536081008,0
"beta[17]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[18]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[19]",0,-1.31115,0,0,-0.313761532375,0.544920095016189,NA,0.376850643292539,69.2,2,NA,21.5433708225775,0
"beta[20]",0,-0.0353421,0,0.0757398,0.01150901921875,0.0364312170194916,NA,0.0209125897851796,57.4,3,NA,11.6087740001595,-0.0145831022257721
"beta[21]",0,0,0.01809605,0.651064,0.213366372255,0.241991596008565,NA,0.162175277326716,67,2,NA,3.0963950341189,0.469358618723691
"beta[22]",0,0,0,0.495374,0.1187544674125,0.205968557965739,NA,0.128378204158222,62.3,3,NA,30.3947889523888,0
"beta[23]",0,0,0,0.0227293,0.00273827946387037,0.00699857142070588,NA,0.00692116062866391,98.9,1,NA,1.89489096414779,0
"beta[24]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[25]",0,0,0,0.0778913,0.0159340635075,0.0288615246964836,NA,0.0203623305386169,70.6,2,NA,5.29520973819345,0
"beta[26]",0,-0.0903726,0,0,-0.01751108591625,0.0318176187540022,NA,0.0237493021634203,74.6,2,NA,5.1197471510907,0
"beta[27]",0,-0.325261,0,0.26742,-0.0156955701375,0.177934384041686,NA,0.0931186582599011,52.3,4,NA,6.64194050127238,0.265081327766522
"beta[28]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[29]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[30]",0,-0.100363,0,0,-0.01650584883625,0.0319009084186911,NA,0.0301240520743137,94.4,1,NA,3.39975009915518,0
"beta[31]",0,0,0,0,5.0559185e-09,4.35039765102475e-07,NA,1.17129246607885e-08,2.7,1380,NA,1.29128196016349,0
"beta[32]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[33]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[34]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[35]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[36]",0,-1.10334,-0.190622,0,-0.4040142121,0.42818408557754,NA,0.242804393436464,56.7,3,NA,5.26144449013153,-1.13357758291851
"beta[37]",0,-1.08905,0,0.240569,-0.165142972730196,0.380487114349072,NA,0.294670179476175,77.4,2,NA,3.30962754666586,0
"beta[38]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[39]",0,-0.342181,0,0,-0.0575907109625,0.112160223101197,NA,0.0949036280473246,84.6,1,NA,3.28951875671674,0
"beta[40]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[41]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[42]",0,0,0,0.912192,0.14191334446625,0.291082162417227,NA,0.24975782033493,85.8,1,NA,2.75621711422908,0
"beta[43]",0,-0.0317651,0,0.0166707,-0.00169542819635,0.0122187620995753,NA,0.0102166966870961,83.6,1,NA,1.33902364876312,0
"beta[44]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[45]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[46]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[47]",0,0,0,0.0718411,0.0129883875025,0.0241175114237622,NA,0.0268736518103656,111.4,1,NA,4.25294387006356,0
"beta[48]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[49]",0,-0.387259,0,0,-0.07421117758125,0.137758943945544,NA,0.119906139591565,87,1,NA,4.26180591122433,0
"beta[50]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[51]",0,-0.421304,0,0,-0.0841039510625,0.153428869573758,NA,0.110566458251539,72.1,2,NA,4.91965933245404,0
"beta[52]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[53]",0,-0.346456,0,0.661763,0.0957376146291175,0.236876221148393,NA,0.0891025184500545,37.6,7,NA,1.4091761354024,0.243035018472454
"beta[54]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[55]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[56]",0,-2.6191e-06,0,0.0259083,0.00278453216003204,0.00899561112589709,NA,0.00671013109557159,74.6,2,NA,1.59518836123982,0
"beta[57]",0,0,0,0.100611,0.0186504303714813,0.0357652571590032,NA,0.0291336241195219,81.5,2,NA,3.5251819827381,0
"beta[58]",0,-0.0123978,0,0.180506,0.0455368124420609,0.071356300605481,NA,0.0387963246208437,54.4,3,NA,6.33602760514523,0
"beta[59]",0,-0.441152,0,0,-0.0965711484125,0.170016616318965,NA,0.0984415165114123,57.9,3,NA,8.76023967882535,0
"beta[60]",0,-0.0434864,0,0.00598968,-0.00539979686709025,0.0143392524182733,NA,0.0145627264077868,101.6,1,NA,2.06174930880181,0
"beta[61]",0,0,0,0.420635,0.0985168958375,0.171679905515893,NA,0.118624885001419,69.1,2,NA,14.3272149612003,0
"beta[62]",0,-1.50376,0,0,-0.348061692625,0.6088730389969,NA,0.422413041145594,69.4,2,NA,11.2295424608554,0
"beta[63]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[64]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[65]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[66]",0,-0.40226,-0.008659,0,-0.12513910006625,0.145691768392738,NA,0.0807820138899263,55.4,3,NA,3.38489507457718,-0.1635287891276
"beta[67]",0,-0.145363,0,0,-0.03180875470625,0.0559707011868019,NA,0.0484992828365132,86.7,1,NA,8.9058431447289,0
"beta[68]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[69]",0,0,0,0.501648,0.0958583098014213,0.182548940549356,NA,0.134816601079864,73.9,2,NA,3.64997420596261,0
"beta[70]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[71]",0,0,0,0.122121,0.012524178404145,0.038873313989895,NA,0.0328882998092857,84.6,1,NA,1.62987916434737,0
"beta[72]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[73]",0,0,0,0.0944093,0.02241262957125,0.0389404860990883,NA,0.0317761174750811,81.6,2,NA,20.0898046566463,0
"beta[74]",0,-0.0254959,0,0.0481102,0.003924706761835,0.0161247731203655,NA,0.015075744267168,93.5,1,NA,1.45766288286664,0
"beta[75]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[76]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[77]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[78]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[79]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[80]",0,-0.162543,0.4801675,2.49483,0.910080473047552,0.975061782816413,NA,0.436100716335151,44.7,5,NA,3.20860857158791,2.39574859214928
"beta[81]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"beta[82]",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
